platform,name,zscore_combined,openssf_badge_tiered_percentage
npm,debug,7.038807455,Not Participating
npm,readable-stream,5.881672969,Not Participating
npm,kind-of,5.039217429,Not Participating
npm,ansi-wrap,4.099507178,Not Participating
npm,set-getter,4.099507178,Not Participating
npm,ansi-yellow,4.099507178,Not Participating
npm,semver,4.086494718,Not Participating
npm,supports-color,3.950240159,Not Participating
npm,minimist,3.7559228,Not Participating
npm,safe-buffer,3.684299431,Not Participating
npm,ansi-regex,3.620558669,Not Participating
npm,inherits,3.540473494,Not Participating
npm,isarray,3.53838464,Not Participating
npm,strip-ansi,3.535759946,Not Participating
npm,qs,3.456481067,Not Participating
npm,ms,3.344484742,Not Participating
npm,array-slice,3.218608741,Not Participating
npm,lodash,3.20524585,Not Participating
npm,@types/react,3.098091043,Not Participating
npm,is-buffer,3.063119216,Not Participating
npm,natives,3.052585754,Not Participating
npm,fast-list,3.052585754,Not Participating
npm,mkdirp,3.049242429,Not Participating
npm,glob,2.923117783,Not Participating
npm,source-map,2.916447458,Not Participating
npm,chalk,2.885705511,Not Participating
npm,postcss,2.869451966,Not Participating
npm,ansi-styles,2.805722468,Not Participating
npm,@types/node,2.696029067,Not Participating
npm,punycode,2.661291884,Not Participating
npm,yallist,2.543699462,Not Participating
npm,commander,2.417152686,Not Participating
npm,string_decoder,2.404573758,Not Participating
npm,graceful-fs,2.360730098,Not Participating
npm,string-width,2.346190362,Not Participating
npm,isobject,2.303935417,Not Participating
npm,lru-cache,2.295032418,Not Participating
npm,async,2.280641287,Not Participating
npm,lodash.isfunction,2.248253212,Not Participating
npm,lodash._root,2.248253212,Not Participating
npm,color-convert,2.244877085,Not Participating
npm,yargs,2.230098554,Not Participating
npm,@types/color-name,2.223252103,Not Participating
npm,sigmund,2.20762641,Not Participating
npm,mime-db,2.185448069,Not Participating
npm,@types/events,2.162311901,Not Participating
npm,has-flag,2.1579853,Not Participating
npm,ws,2.13667382,Not Participating
npm,color-name,2.115644574,Not Participating
npm,lodash.isarguments,2.095121421,Not Participating
npm,lodash._shimkeys,2.095121421,Not Participating
npm,lodash.isarray,2.095121421,Not Participating
npm,lodash._renative,2.095121421,Not Participating
npm,lodash.isnative,2.095121421,Not Participating
npm,lodash._objecttypes,2.095121421,Not Participating
npm,lodash.support,2.095121421,Not Participating
npm,lodash._isnative,2.095121421,Not Participating
npm,lodash._getnative,2.095121421,Not Participating
npm,lodash._arraycopy,2.095121421,Not Participating
npm,lodash.isobject,2.095121421,Not Participating
npm,lodash._slice,2.095121421,Not Participating
npm,is-arguments,1.938508841,Not Participating
npm,once,1.890765167,Not Participating
npm,is-fullwidth-code-point,1.873742746,Not Participating
npm,acorn,1.866715701,Not Participating
npm,caniuse-lite,1.861551944,Not Participating
npm,lodash._arraymap,1.857220247,Not Participating
npm,find-up,1.853285685,Not Participating
npm,mime,1.828411616,Not Participating
npm,mime-types,1.79903429,Not Participating
npm,wrappy,1.759196206,Not Participating
npm,lodash.restparam,1.742762046,Not Participating
npm,@babel/runtime,1.699303003,27
npm,uuid,1.668309091,Not Participating
npm,minimatch,1.662380605,Not Participating
npm,resolve,1.654330547,Not Participating
npm,ajv,1.634144193,99
npm,balanced-match,1.600217969,Not Participating
npm,form-data,1.593015523,Not Participating
npm,electron-to-chromium,1.588073273,Not Participating
npm,lodash._basetostring,1.562675936,Not Participating
npm,lodash.tostring,1.562675936,Not Participating
npm,rimraf,1.530607003,Not Participating
npm,camelcase,1.501303545,Not Participating
npm,is-number,1.453209138,Not Participating
npm,yargs-parser,1.448256917,Not Participating
npm,request,1.447767317,Not Participating
npm,define-property,1.443198007,Not Participating
npm,brace-expansion,1.411984842,Not Participating
npm,lodash._basecreatecallback,1.409544145,Not Participating
npm,lodash._createwrapper,1.409544145,Not Participating
npm,lodash._topath,1.409544145,Not Participating
npm,lodash._createobject,1.409544145,Not Participating
npm,lodash._baseslice,1.409544145,Not Participating
npm,lodash._createbound,1.409544145,Not Participating
npm,lodash._bindcallback,1.409544145,Not Participating
npm,lodash._releasearray,1.409544145,Not Participating
npm,lodash._releaseobject,1.409544145,Not Participating
npm,lodash._baseproperty,1.409544145,Not Participating
